Series,Series_Name,Series_Color,Code,Title,Subtitle,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Document_URL,Live
C,Communicate,#0891b2,C1,Running Great Team Meetings,Meetings Worth Everyone's Time,"1Every meeting needs a why — No purpose, no meeting; respect for time is respect for people.","2Information needs no meeting — Pure updates go out in writing; meet only to discuss, decide or connect.",3Prepare a simple agenda — Three points shared beforehand beat ninety unprepared minutes; attention drops after ~20 minutes.,"4Start strong, start on time — An opener, a win or a devotion sets energy; starting late trains lateness.","5Involve everyone — Ask the quiet ones, park the long talkers kindly, use pairs for discussion.","6End with decisions & owners — Every point closes with what, who, until when — written down.",https://drive.google.com/file/d/1ZCXBc2uSqFJaGpzaqcucXJYypWixRUub/view,TRUE
C,Communicate,#0891b2,C2,Giving Feedback,Truth That Builds People,"1Feedback is care, not attack — Withholding honest feedback is withholding growth.","2Right time, right place — Praise publicly, correct privately, and never in anger.","3Describe, don't judge — Say what you observed and its effect, not what kind of person they are (SBI: Situation–Behavior–Impact).",4One thing at a time — A single clear point lands; a list of five overwhelms and hardens.,"5Invite their view — Feedback is a dialogue: ""How do you see it?"" often changes the picture.","6End forward-looking — Agree the next step and express confidence — feedback should lift, not flatten.",https://drive.google.com/file/d/1lAWno8c7OVAV853ZgqC6EH79Vhb6rXds/view,TRUE
C,Communicate,#0891b2,C3,Receiving Feedback Well,"Stay Open, Keep Growing",1Your reaction sets the culture — Leaders who get defensive stop hearing truth forever.,"2Listen fully before responding — Breathe, take notes, ask clarifying questions — don't build your defense while they talk.","3Thank first, evaluate later — Gratitude for courage, then 24 hours before deciding what to do with it.",4Look for the grain of truth — Even unfair feedback usually carries 10% you need.,"5Ask for feedback actively — ""What is one thing I could do better?"" — regularly, and mean it.",6Close the loop — Tell people what you changed because of their feedback; nothing builds trust faster.,https://drive.google.com/file/d/1ZCyRLwClVrBRyK1IpZahI5PQ7flY7fKw/view,TRUE
C,Communicate,#0891b2,C4,Difficult Conversations,"Say It Early, Say It Kindly",1Don't wait — the price rises — Avoided conversations become conflicts; address issues while they are small.,"2Prepare heart and facts — Check your motive (help, not win) and gather concrete observations.",3Open honestly and kindly — Name the issue directly in the first two sentences; small talk fools no one.,4Listen for their story — There is always a perspective you don't have; curiosity de-escalates.,5Search for the way forward together — Move from who's right to what's next.,"6Agree, document, follow up — Clear agreements, a short written note, and a check-in date.",https://drive.google.com/file/d/1OH7WBNrcwRoDotqyJS5xUrgXMpDnrNrC/view,TRUE
C,Communicate,#0891b2,C5,Resolving Conflict in Your Team,From Tension to Trust,1Conflict is normal — escalation is optional — Healthy teams disagree; unhealthy teams go silent or explode.,2Go direct first — Encourage the two people to talk directly before you step in (Matthew 18 principle).,"3Mediate fairly — Hear both sides separately, then together; no verdicts based on one story.","4Mind culture and face — In the Khmer context, saving face matters: private, calm, respectful settings work.",5Address gossip immediately — Gossip is conflict's fuel; redirect it to the person concerned every time.,"6Rebuild the relationship — After resolution, create small cooperation moments so trust regrows.",https://drive.google.com/file/d/1lKw3G8rrG749wsK_FJqjUgzwEVephVf1/view,TRUE
C,Communicate,#0891b2,C6,Everyday Communication,"Clear, Kind, Every Day",1Choose the right channel — Complex or emotional topics: face to face; logistics: Telegram; decisions: written.,2Respect response-time rules — Follow the ICF communication guidelines for availability and replies.,"3Write clearly and kindly — Short sentences, clear ask, deadline; tone travels badly in text.",4Pass information down faithfully — What you hear in leaders' meetings must reach your team accurately and timely.,5Protect confidentiality — Know what is yours to share and what is not.,"6Over-communicate change — People need to hear important news several times, in several ways.",https://drive.google.com/file/d/1vzrEMlOotHPF0PK6ona6WC_fa7SI2kIL/view,TRUE
D,Lead the Team,#059669,D1,Living the ICF Values in Daily Work,Culture Starts With You,"1Values are decisions, not posters — Culture is what you tolerate and what you celebrate.","2Model it first — Your team will copy your honesty, punctuality and respect — or your shortcuts.",3Tell value stories — Catch someone living a value and tell the story in the next meeting.,4Hire and onboard by values — Skills can be trained; values must be shared from day one.,5Confront value breaches — One ignored violation teaches everyone the values are optional.,"6Review as a team — Once a season, ask honestly: which value are we living, which are we losing?",https://drive.google.com/file/d/1uaiW1P7rb0rzwSHgTafWNoaubDjA-RvV/view,TRUE
D,Lead the Team,#059669,D2,Onboarding New Team Members,Belonging From Day One,1The first week decides — People decide in days whether they belong; plan the first week like an event.,"2Prepare before day one — Workplace, tools, schedule and a welcome — nothing says ""unimportant"" like an unprepared arrival.",3Assign a buddy — A peer for daily questions beats a leader for occasional ones.,"4Explain the why of ICF — Vision, story and values before forms and procedures.","5Train in steps with check-ins — Small portions, early practice, weekly reviews in month one.","6Check in at day 7, then 30/60/90 — Most people decide within the first 90 days whether they stay; a short check-in in week one catches struggles early.",https://drive.google.com/file/d/1ilYvF39IX9YxybtEiPCSNL1aqWQB9lPc/view,TRUE
D,Lead the Team,#059669,D3,Clear Roles & Expectations,"End the Fog, End the Friction",1Unclear roles create most conflicts — People rarely fail on purpose; they fail on fog.,"2Write simple role descriptions — Main responsibilities, decisions they own, who they report to — one page.","3Define what good looks like — Concrete standards (clean means…, safe means…, done means…) end debates.","4Clarify decision rights — What can they decide alone, what needs asking? Ambiguity here breeds frustration.","5Revisit when things change — New season, new project, new people — roles need maintenance.","6Address overlap openly — Where two people share ground, agree the split before it burns.",https://drive.google.com/file/d/1xL8Y36rOMC5zyqVvF46Vur6ScTHPc01w/view,TRUE
D,Lead the Team,#059669,D4,Building Trust in the Team,The Foundation Everything Rests On,1Trust is the speed of the team — Everything is slower and heavier without it.,"2Go first — Vulnerability from the leader (admitting limits, asking help) unlocks the team's honesty.","3Make speaking up safe — When mistakes and questions are welcomed, problems surface early; when they are punished, you simply stop hearing them.",4Keep confidences — One leaked secret costs a year of credibility.,5Be fair and consistent — Same rules for favorites and non-favorites — the team watches closely.,"6Create real shared moments — Meals, celebrations and small adventures build what meetings can't.",https://drive.google.com/file/d/1ABJKHRdshp_WvcC2d6mrBPEvKXO0uBqz/view,TRUE
D,Lead the Team,#059669,D5,Celebrating Wins & Team Events,Joy That Builds Culture,"1Celebration is fuel, not luxury — Teams that never celebrate learn that finishing doesn't matter.","2Mark milestones immediately — Small, quick recognition beats a big party six months later.","3Celebrate people, not only projects — Birthdays, anniversaries, personal wins — belonging grows here.","4Keep it inclusive and simple — Khmer and international staff, all budgets: shared food works everywhere.","5Use the ICF rhythms — All Hands, staff retreats and season closings are ready-made stages for honor.",6Tell the story — Photos and testimonies of what God did turn events into culture.,https://drive.google.com/file/d/1cqLVV-eww8QLdPvoSN7TwQCW_VEs30ML/view,TRUE
E,Manage the Work,#b45309,E1,Planning & Setting Goals,From Vision to Weekly Steps,"1Begin with the end — A clear picture of ""done and good"" is half the plan.","2Set few, clear goals — Three memorable goals beat ten forgotten ones; make them measurable.",3Break goals into weekly steps — Big goals move only when they appear in normal weeks.,4Plan with the team — People support what they helped create.,"5Put it where everyone sees it — A visible plan (wall, board, doc) keeps priorities honest.","6Review rhythmically — Weekly small check, monthly deeper look, quarterly course correction.",https://drive.google.com/file/d/1bjQK-lthNHlMbpwyCR-DzKGKIxQ3KV5u/view,TRUE
E,Manage the Work,#b45309,E2,Problem Solving & Decision Making,Finding the Wise Way Forward,1Define the real problem first — An hour on the right question saves weeks on the wrong answer.,"2Gather facts before opinions — Go see, ask those closest to the work, measure what you can.",3Generate options — always more than one — The first idea is rarely the best; force three alternatives.,4Decide at the right level — Involve those affected; escalate only what truly needs your leader.,"5Decide, then commit fully — A good decision executed beats a perfect one delayed.",6Review what happened — Wins and failures both teach — if you debrief them.,https://drive.google.com/file/d/111lSyDg-urH7Hn-onWm8qjOHc9eUp6CV/view,TRUE
E,Manage the Work,#b45309,E3,Reporting & Accountability,Truth That Builds Trust,"1Reporting is serving, not surveillance — Your leader and ICF need truth to steer and to steward donors' trust.",2Know your numbers — Every leader tracks a handful of key figures for their area — know yours cold.,"3Report rhythm and format — On time, in the agreed form, every time — reliability is the report.",4Bad news travels first — Problems reported early are projects; problems hidden become scandals.,5Hold your team accountable kindly — Follow up on agreements consistently — accountability is respect.,6Document decisions — Short written records prevent long painful debates later.,https://drive.google.com/file/d/1loPwEMdAvYTR9f9mQtigRyuZ4mP_HYuw/view,TRUE
E,Manage the Work,#b45309,E4,Budget & Resources Basics,Faithful with Every Dollar,1Stewardship mindset — Every dollar was given in trust; leaders guard it like their own — and better.,"2Know your budget — What you have, what's spent, what's left — check monthly, not yearly.","3Follow the purchase process — Requests, approvals and receipts: the process protects you.","4Care for materials & assets — Maintenance, storage and inventory keep tools alive and costs down.","5Plan ahead for needs — Foreseeable expenses (repairs, seasons, events) belong in the plan, not in emergencies.","6Report transparently — Clean, honest financial reporting is a witness — inside and outside ICF.",https://drive.google.com/file/d/1F_dv63B3ooFakFThG37rCY3CATZZmcId/view,TRUE
E,Manage the Work,#b45309,E5,"Policies, Safety & Admin Basics",Protecting People and Mission,"1Rules serve the mission — Policies protect people, children and the ministry — lead them positively.","2Know the ones that matter — Child protection, safety, HR basics, leave and conduct: know where to find and how to apply them.","3Safety is leadership — You are responsible for safe work in your area: equipment, training, incidents.",4Child protection first — The protection of children is non-negotiable — know the code and enforce it.,"5Handle HR admin on time — Contracts, leave, timesheets and APR deadlines respected — it's care, not paperwork.",6When unsure — ask — HR and Operations exist to help; guessing on policy questions creates damage.,https://drive.google.com/file/d/1aH6Ep3SWO6-_FbXFwx47amASRCqosY76/view,TRUE
F,Care & Culture,#be185d,F1,Pastoral Care for Your Team,Shepherding the People You Lead,"1You lead people, not positions — Behind every role is a family, a story, a faith journey.","2Know your people's lives — Names of spouses and kids, home situations, current burdens — care starts with knowing.","3Recognize the signs of crisis — Withdrawal, performance drops and absence usually mean something at home.","4Be present in key moments — Weddings, funerals, sickness, births: showing up says more than programs.","5Care within your limits — You are a caring leader, not a counselor — connect people to pastoral or professional help.",6Pray for and with your team — The most underestimated leadership tool at ICF.,https://drive.google.com/file/d/1RBS3UazFKoZd4eMcbD4zDMJdRoXinjA0/view,TRUE
F,Care & Culture,#be185d,F2,Leading Across Cultures,Building One Team from Two Worlds,"1Different is not wrong — Time, directness, hierarchy and feedback work differently — learn before judging.","2Understand face and honor — Public correction shames; private, gentle words move mountains.","3Mind the language gap — Speak simply, check understanding, allow silence — a Khmer ""yes"" can mean ""I heard you"", not ""I agree"".",4Respect age within hierarchy — Younger leaders leading older staff is delicate; give elders honor and private explanations.,5Bridge both directions — Help internationals understand Khmer ways and Khmer staff navigate international expectations.,"6Develop Khmer leadership deliberately — The future of ICF Cambodia is Khmer-led; make room, give voice, build confidence.",https://drive.google.com/file/d/1yfBvsi2hs3Sah8sftwed6V5l_VhKim9F/view,TRUE
F,Care & Culture,#be185d,F3,Faith & Devotions in the Team,Keeping the Mission at the Center,"1Keep the why alive — ICF is ministry, not just an NGO; the work flows from the mission.","2Lead simple devotions — A verse, a thought, a prayer — 10 minutes that anchor the day.",3Let others lead too — Rotating devotions grows faith and confidence across the team.,"4Connect faith and work — Show how cleaning, guarding and teaching serve God's story in Cambodia.","5Respect every journey — Not all staff are believers; invite warmly, never force.",6Pray through the hard seasons — Team crises are spiritual moments — lead them as such.,https://drive.google.com/file/d/11dO2WCTZUURERAP6YWh_BVMpMFB4BdzB/view,TRUE
F,Care & Culture,#be185d,F4,Wellbeing & Preventing Burnout,"Sustainable People, Sustainable Ministry","1Burnout builds slowly — Months of small overload, not one hard week — watch trends, not days.","2Know the warning signs — Exhaustion, cynicism, mistakes, withdrawal — in yourself and your people.","3Fix the system, not just the person — Burnout comes mainly from unclear roles, friction and overload — change the conditions, not only the coping.","4Manage workload honestly — Chronic overtime is a planning problem, not a loyalty proof.","5Protect rest — Days off, holidays and Sabbath actually taken — leaders enforce rest by taking it.",6Talk about it openly — A team where tiredness can be said early rarely reaches breakdown.,https://drive.google.com/file/d/1XXmh6sZpbLhx882XL2He2Wan0sAMqgVm/view,TRUE
G,Lead Leaders,#4f46e5,G1,From Team Leader to Leader of Leaders,Your Job Just Changed,1Your job changes fundamentally — From doing and directing to developing and aligning — let go of your old job.,"2Lead through, not around — Never bypass your leaders to their teams; it destroys them in days.",3Multiply your standards — Your leaders must know your values and quality bar well enough to enforce them without you.,4Spend time where it multiplies — One hour developing a leader touches their whole team.,"5Build the leader team — Your direct leaders must become a real team themselves, not rival chiefs.",6Keep one hand in reality — Stay close enough to the front line to smell problems early — without taking over.,https://drive.google.com/file/d/1y8jAMzU02Bvw3wWUkOya7ui0avPSrta1/view,TRUE
G,Lead Leaders,#4f46e5,G2,Coaching a Leader Who Has Their Own Team,"Coach the Leader, Not the Team","1Coach the leader, not their team — Resist solving their team's problems; grow their ability to solve them.",2Use their real cases — Coaching on today's actual conflict beats theory every time.,"3Ask before you advise — ""What have you considered?"" first; your answer only after their thinking.","4Review their leading, not only their results — How they run meetings, develop people and handle conflict is the real KPI.","5Allow leadership styles to differ — Different from you can still be excellent; coach principles, not clones.",6Have the hard talks about leading — Standard-drops in their leadership need the same honest feedback as any performance issue.,https://drive.google.com/file/d/13iSI23kRvq-OrDNjAG5XDw2dwLZZD0Ds/view,TRUE
G,Lead Leaders,#4f46e5,G3,Building Succession — Never Lead Alone,Stewardship Beyond Your Season,"1Succession starts on day one — Leading without a successor plan is renting, not building.","2Build a bench, not just a №2 — Build several capable people per key area instead of betting on one successor.","3Share leadership visibly — Let others represent, decide and be seen — titles can wait, exposure can't.","4Document the essentials — Processes, contacts and passwords that live only in one head are risks.","5Plan transitions early — Handovers need months of overlap, not a week of notes.",6Measure yourself by what survives you — The test of your leadership is the team after you leave.,https://drive.google.com/file/d/1b5YIM6QjaaGpZJWUOisV1-1Rmy1UmVT6/view,TRUE
G,Lead Leaders,#4f46e5,G4,Aligning Multiple Teams,"One Vision, One Voice","1One vision, many teams — Alignment means every team can say how their work serves the same ICF story.","2Fight silo thinking — ""My team first"" is natural and toxic; reward cross-team help publicly.","3Create shared rhythms — Joint leader meetings, aligned calendars and common goals hold teams together.",4Resolve inter-team conflicts fast — Leaders' conflicts cascade to whole departments within days.,"5Balance resources fairly — Transparent, explained decisions on people and money prevent silent wars.","6Communicate as one leadership — Decide behind closed doors, then speak with one voice.",https://drive.google.com/file/d/1__dWvRzKIJVXyuc8j6Js_IXJ65bs5yqP/view,TRUE
