section,title,description,status,color,tag1,tag2,file1_label,file1_url,file2_label,file2_url,file3_label,file3_url,youtube_url
lifecycle,Employment Contract Template,Standard bilingual contract for full-time staff.,Active,purple,,,English,https://drive.google.com/file/d/1CZiTwHp3r9C35NQYYUnCkIAtFa90VRYW/view,Khmer,https://drive.google.com/file/d/1i7Wak_IXIvUco9KBwFVY2DgdMAB2HKkk/view,,,
lifecycle,Probation Evaluation Form,End-of-probation review. English & Khmer + Improvement Plan.,Active,purple,,,English,https://drive.google.com/file/d/1pEKqejIlA80SoOp1BljB7EdglrxrmWkO/view,Khmer,https://drive.google.com/file/d/1mPB-wFXziZvL-lFNvil6clhswcjKSrHO/view,Improvement Plan,https://drive.google.com/file/d/1OOkHxZx6QTL4I4dzaSGmXYVvd8nyD52s/view,
lifecycle,Annual Performance Review,Annual review form + guideline + questionnaire.,Active,purple,,,English,https://drive.google.com/file/d/1_tqCOkf08qdSBy3BNmxvPAmpbaWcPqBf/view,Khmer,https://drive.google.com/file/d/1OowqeoHvdNkQCjbmcvYimAi7QopZLi9Z/view,Guideline,https://drive.google.com/file/d/1nzbH0JeqbzTTIFkQiIFLv9f4skj2OAMy/view,
lifecycle,Staff Transfer Form,Move a staff member between departments or roles.,Active,,,,Download form,https://drive.google.com/file/d/1zMAkHGRutnT7OQlmpMahw1vfC86XeNDY/view,,,,,
lifecycle,Employee of the Month,Guideline for monthly staff recognition.,Active,,,,Open,https://drive.google.com/file/d/1nlptOEpi160RUtyb5249cBgnyhEyQ3I2/view,,,,,
lifecycle,Warning Letter Template,Used in formal disciplinary procedure. English & Khmer + One-on-One discussion form.,Active,amber,,,English,https://drive.google.com/file/d/1aDHc3TtJaPubgohQkvRzIilBm6H9Xswf/view,Khmer,https://drive.google.com/file/d/1Uc-Oz-wGZiW5CV1Yp-5T5g1ZoK9xcA9K/view,1-on-1 Form,https://drive.google.com/file/d/1K-Bhjqh1i7doEyeHrMeclXnrl34XIrt3/view,
lifecycle,Resignation Form,Bilingual resignation form for leaving staff.,Active,,,,Open,https://drive.google.com/file/d/1bEE7CZQyGbOHkmMKN6vpTdDfocEzsyFZ/view,,,,,
lifecycle,Promotion Form (Updated),Used by line managers when promoting a staff member.,Active,,,,Download,https://drive.google.com/file/d/155r7M1tvicNuhrYqu-So1LpiSScrx5Rj/view,,,,,
lifecycle,Trainee Evaluation Form,Review form for trainees / interns.,Active,,,,Download,https://drive.google.com/file/d/1pOEm6wiUiDK2nBi0qepmD_MvvC2T4GvD/view,,,,,
recruitment,Recruitment Workflow,Step-by-step workflow from request to hire.,Active,green,,,Open,https://drive.google.com/file/d/1w0oJyn2ym5vOZw4-x-KXay9NvMzai1GT/view,,,,,
recruitment,Hiring Request Template,First step — submit a new-hire request to HR.,Active,green,,,Download,https://drive.google.com/file/d/1YLDP_GIfQFV-C2QrNWcW0q-L6PbZf4sO/view,,,,,
recruitment,Job Description Template (2026),Standardized JD template for new roles.,Active,green,,,Download,https://drive.google.com/file/d/1YbiNevmYqpLqlgVM4HmMywlZOgwmxT8w/view,,,,,
recruitment,Capture Success Profile (2026),Define what good looks like before hiring.,Active,green,,,Download,https://drive.google.com/file/d/1xAR3kwPcKm7JR65r-kPOYlj4n5Xm3wEG/view,,,,,
recruitment,Interview & Reference Check,Interview form + reference check form.,Active,,,,Interview Form,https://drive.google.com/file/d/1FcrtQXW0uMnHEZ0bMYyLm0hGIf9qNKBh/view,Reference Check,https://drive.google.com/file/d/1a9dRO7fobgXx5f61SNeNl4j8b7iJcjUL/view,,,
recruitment,Referral Rock Star,Refer a great person — and be recognized.,Active,,,,Open,https://drive.google.com/file/d/1PVY6t6HCH6cb9mfwH_uXJSuV4FeaiVLE/view,,,,,
recruitment,2026 Calendars,Holidays calendar & payroll calendar for 2026.,Active,,,,Holidays,https://drive.google.com/file/d/1NNCAJMpNFzhkFQLEy1K-4rQXbwcrKtQA/view,Payroll,https://drive.google.com/file/d/12yezBdfwtBCm8v1dRPkzCHCfIsegiJbd/view,,,
finance,Financial Policy & Procedures (V3),Master policy document — required reading for anyone managing budgets or expenses.,Active,amber,,,Open,https://drive.google.com/file/d/1TdLScDwgy4op3OvtCYx53Vj2sP5frrhn/view,,,,,
finance,Travel Expense Policy 2025,Per diem vehicles and travel reimbursement rules.,Active,amber,,,Open,https://drive.google.com/file/d/1RyYuffptIl7jngcl3q6oLuY2csHcbMQ0/view,,,,,
finance,Finance Forms · NGO & Church,All finance request forms organized by NGO or Church operations.,Active,,,,NGO Forms,https://drive.google.com/drive/folders/13vl9EDBpiBccTIleinebhVJdk2qXm5Cu,Church Forms,https://drive.google.com/drive/folders/1J3fHigHTafXUWBuT2ooK_auaIRPWkWjs,,,
finance,Class & Expense Codes,Use these codes when filling out any expense form.,Active,,,,Open folder,https://drive.google.com/drive/folders/1-0NkSaIt52-DWiTVZrlhyfGpFdHnowEb,,,,,
finance,Finance Policy Refresher Training,Latest training deck (Sep 2025) — reviewed annually.,Active,,,,Open,https://drive.google.com/file/d/1dZf2D_ulhbDgPskFxzFv6ycOdowUxljX/view,,,,,
allowances,Child Education Allowance,Guideline + application form. Bilingual.,Active,,,,Guideline,https://drive.google.com/file/d/1-4HK-2rj0f1nLyJD6e5x0tbtb-MH3xrs/view,Application Form,https://drive.google.com/file/d/1Q7W_4i8PCWaca4DhAxAkT57cI7rz55kZ/view,Khmer,https://drive.google.com/file/d/1neppYdApBWgKzLurBSF0clvwvngpstgK/view,
allowances,Lunch Form,Request a free lunch from the staff kitchen.,Active,,,,Open,https://drive.google.com/file/d/12qKin11UzoDuFvDj3YQdU9EgjzPI99p-/view,,,,,
insurance,ICF Retirement & NSSF Pension Guideline,How the ICF retirement and pension plans work — bilingual.,Active,red,,,English,https://drive.google.com/file/d/1MGUW_3nDF_289GJEwuOHzEQM6JIWD2Jd/view,Khmer,https://drive.google.com/file/d/1qenBJrzi-kqd7vQpeS4P0lUBSR03aeen/view,Withdrawal Form,https://drive.google.com/file/d/1UOGVWZn1bA8Fug73xe6LzgKyz7RtTYRj/view,
insurance,NSSF Insurance,Reference documents and folder for National Social Security Fund insurance.,Active,,,,Open folder,https://drive.google.com/drive/folders/1Mr_acqr_LJEvq71YpghnpCJmvAbB5jEr,,,,,
insurance,Phillip Insurance,Phillip Insurance partner documentation and contact info.,Active,,,,Open folder,https://drive.google.com/drive/folders/12I90kL_cSi7LyaigHt7t2_2twCO3FB10,,,,,
insurance,Forte Insurance Claim Forms (Archive),Old Forte HNS / GPA claim forms and panel hospital lists. Reference only.,Archive,,,,HNS Claim,https://drive.google.com/file/d/1ZezTNtZ6bMaskjDD48Qf_ZuSF_z_RGEc/view,GPA Claim,https://drive.google.com/file/d/1HHWgLtUyeQ_wnTw6ssEDS9G7Vl44VI82/view,Panel Hospitals,https://drive.google.com/file/d/1DdsDF7P6Ih97NjVP-Rdlz6Y643tDZraF/view,
campus,Campus Guideline 2024,Use of the campus security parking visitors common spaces.,Active,,,,English,https://drive.google.com/file/d/1mhdKj6yz32G0CMEpoV4s-GchOGnJ7rKP/view,Khmer,https://drive.google.com/file/d/1ydaL9EabQam6kzJxto_Eo_yJzPwIkEY7/view,,,
campus,Kitchen Policy 2024,Hygiene food handling cleaning rota and shared-fridge rules.,Active,,,,Open,https://drive.google.com/file/d/1pAZX58xRM_3UWXVcPC3uCTImvom4pkjp/view,,,,,
dlt,Test DLT Text,For DLT to view,Active,,,,Open,www.icf-cambodia.com,,,,,
campus,wqer,qwerwqer,Active,,,,Open,https://docs.google.com/document/d/1eIuJvDldv8hpnzzbjCAD4XbDLNJloWY6gQApjKe6Qh4/edit?usp=sharing,,,,,https://youtu.be/8ely16kHYco?si=I7EVJ5pXfoBX8yIN
